"orig","new","w","h","kb"
"ChatGPT Image Jul 14, 2026, 11_52_57 AM (1).png","hero-city.webp","1448","1086","282"
"ChatGPT Image Jul 14, 2026, 11_52_58 AM (2).png","art-002.webp","1672","941","30"
"ChatGPT Image Jul 14, 2026, 11_52_58 AM (3).png","art-003.webp","1086","1448","34"
"ChatGPT Image Jul 14, 2026, 11_52_58 AM (4).png","art-004.webp","1448","1086","40"
"ChatGPT Image Jul 14, 2026, 11_52_59 AM (5).png","art-005.webp","1448","1086","50"
"ChatGPT Image Jul 14, 2026, 11_52_59 AM (6).png","art-006.webp","1448","1086","45"
"ChatGPT Image Jul 14, 2026, 11_53_00 AM (7).png","art-007.webp","1448","1086","50"
"ChatGPT Image Jul 14, 2026, 11_53_00 AM (8).png","art-008.webp","1448","1086","53"
"ChatGPT Image Jul 14, 2026, 11_53_01 AM (10).png","art-009.webp","1448","1086","114"
"ChatGPT Image Jul 14, 2026, 11_53_01 AM (9).png","art-010.webp","1672","941","72"
"ChatGPT Image Jul 14, 2026, 12_05_09 PM (1).png","art-011.webp","2172","724","33"
"ChatGPT Image Jul 14, 2026, 12_05_10 PM (2).png","art-012.webp","1448","1086","65"
"ChatGPT Image Jul 14, 2026, 12_05_10 PM (3).png","art-013.webp","1672","941","45"
"ChatGPT Image Jul 14, 2026, 12_05_11 PM (4).png","art-014.webp","1672","941","111"
"ChatGPT Image Jul 14, 2026, 12_05_11 PM (5).png","art-015.webp","1122","1402","53"
"ChatGPT Image Jul 14, 2026, 12_05_11 PM (6).png","art-016.webp","1448","1086","46"
"ChatGPT Image Jul 14, 2026, 12_05_21 PM (1).png","art-017.webp","1122","1402","88"
"ChatGPT Image Jul 14, 2026, 12_05_21 PM (2).png","art-018.webp","1086","1448","89"
"ChatGPT Image Jul 14, 2026, 12_05_22 PM (3).png","art-019.webp","1086","1448","104"
"ChatGPT Image Jul 14, 2026, 12_05_22 PM (4).png","art-020.webp","1086","1448","62"
"ChatGPT Image Jul 14, 2026, 12_05_23 PM (5).png","art-021.webp","1086","1448","76"
"ChatGPT Image Jul 14, 2026, 12_05_23 PM (6).png","art-022.webp","1086","1448","52"
"ChatGPT Image Jul 14, 2026, 12_05_24 PM (7).png","art-023.webp","2804","561","56"
"ChatGPT Image Jul 14, 2026, 12_05_24 PM (8).png","art-024.webp","2804","561","37"
